time,value
2007-01-01,1.1235580277035437
2007-01-02,1.1210978239216856
2007-01-03,1.1160917859745447
2007-01-04,1.1085399159867997
2007-01-05,1.098442214254254
2007-01-06,1.0857986797296348
2007-01-07,1.0706093118217321
2007-01-08,1.039800555152902
2007-01-09,0.9933724077126476
2007-01-10,0.9313248722102467
2007-01-11,0.8536579461188807
2007-01-12,0.7603716304326236
2007-01-13,0.6514659247207693
2007-01-14,0.526940830439143
2007-01-15,0.4668207222919949
2007-01-16,0.4711056021317437
2007-01-17,0.5397954670663616
2007-01-18,0.672890319964178
2007-01-19,0.8703901604549424
2007-01-20,1.1322949885062437
2007-01-21,1.4586048008005856
2007-01-22,1.5192702052489166
2007-01-23,1.3142912002569171
2007-01-24,0.843667785323349
2007-01-25,0.10739996162505783
2007-01-26,-0.8945122735882269
2007-01-27,-2.1620689172306626
2007-01-28,-3.695269970020987
2007-01-29,-4.812544598588985
2007-01-30,-5.513892801522863
2007-01-31,-5.799314580230622
2007-02-01,27.923268805505465
2007-02-02,-5.115196424329861
2007-02-03,-4.138474056527345
2007-02-04,-2.7386428280808115
2007-02-05,-1.597557388700745
2007-02-06,-0.715217739130936
2007-02-07,-0.09162387930852911
2007-02-08,0.2732241907304499
2007-02-09,0.3793264697890383
2007-02-10,0.22668296160480983
2007-02-11,-0.18470633734398734
2007-02-12,-0.5233374750370818
2007-02-13,-0.7892104518514315
2007-02-14,-0.9823252694764515
2007-02-15,-1.1026819258640501
2007-02-16,-1.1502804220935643
2007-02-17,-1.1251207580852465
2007-02-18,-1.0272029334316355
2007-02-19,-0.942267544343692
2007-02-20,-0.8703145876872787
2007-02-21,-0.8113440666311553
2007-02-22,-0.7653559813196492
2007-02-23,-0.73235032890664
2007-02-24,-0.7123271102302513
2007-02-25,-0.7052863288498801
2007-02-26,-0.6890519769329985
2007-02-27,-0.6636240543251823
2007-02-28,-0.62900256272584
2007-03-01,-0.5851875009746033
2007-03-02,-0.538023843305532
2007-03-03,-0.4875115881337473
2007-03-04,-0.43365073363329754
2007-03-05,-0.3821767039092676
2007-03-06,-0.3330894992388209
2007-03-07,-0.28638911825066216
2007-03-08,-0.24207556121524498
2007-03-09,-0.20014882744463902
2007-03-10,-0.16060891710129455
2007-03-11,-0.12345583177502095
2007-03-12,-0.08720696207662137
2007-03-13,-0.05186230599660169
2007-03-14,-0.017421861795010374
2007-03-15,0.016114365736985325
2007-03-16,0.0487463777910464
2007-03-17,0.08047417718632532
2007-03-18,0.11129776191984475
2007-03-19,0.14083679021828277
2007-03-20,0.1690912592826772
2007-03-21,0.1960611702338464
2007-03-22,0.22174652567536102
2007-03-23,0.2461473235859022
2007-03-24,0.2692635631259872
2007-03-25,0.2910952447989732
2007-03-26,0.3117286752855257
2007-03-27,0.33116385399050663
2007-03-28,0.3494007810029933
2007-03-29,0.3664394560028881
2007-03-30,0.3822798790597781
2007-03-31,0.39692205025407246
2007-04-01,0.41036596931064806
2007-04-02,0.4198159445478471
2007-04-03,0.4252719757445067
2007-04-04,0.42673406334046105
2007-04-05,0.42420220699077427
2007-04-06,0.4176764073751713
2007-04-07,0.4071566634568191
2007-04-08,0.3926429753616252
2007-04-09,0.373948664348978
2007-04-10,0.3510737318381003
2007-04-11,0.3240181731929055
2007-04-12,0.2927819938037519
2007-04-13,0.2573651887832973
2007-04-14,0.21776776114837726
2007-04-15,0.17398971093421367
2007-04-16,0.12677675765714191
2007-04-17,0.07612889926942401
2007-04-18,0.022046138703074813
2007-04-19,-0.03547152624454619
2007-04-20,-0.09642409381743589
2007-04-21,-0.1608115644595456
2007-04-22,-0.22863394012482585
2007-04-23,-0.3027806337879997
2007-04-24,-0.38325164401603273
2007-04-25,-0.47004697405278084
2007-04-26,-0.5631666229618597
2007-04-27,-0.6626105893535801
2007-04-28,-0.7683788752878614
2007-04-29,-0.8804714786211417
2007-04-30,-0.9877152845716657
2007-05-01,-1.0901102924480384
2007-05-02,-1.1766568612450152
2007-05-03,-1.2473549957168402
2007-05-04,-1.3022046937473946
2007-05-05,-1.3412059555553735
2007-05-06,-1.364358780846316
2007-05-07,-1.4148628623629003
2007-05-08,-1.4927181985995381
2007-05-09,-1.5979247929572078
2007-05-10,-1.7304826422287645
2007-05-11,-1.8903917485885389
2007-05-12,-2.0776521099373606
2007-05-13,-2.2922637273238875
2007-05-14,-2.3672009869994404
2007-05-15,-2.3024638876309167
2007-05-16,-2.098052426893296
2007-05-17,-1.7539666075919484
2007-05-18,-1.2702064290978226
2007-05-19,-0.6467718919435892
2007-05-20,0.1163370061782009
2007-05-21,0.674892050650526
2007-05-22,1.0288932438221834
2007-05-23,31.41121144801433
2007-05-24,1.1232340702218264
2007-05-25,0.8635737050783704
2007-05-26,0.39935948774336605
2007-05-27,-0.26940858242977767
2007-05-28,-0.7944730285887056
2007-05-29,-1.1758338485834157
2007-05-30,-1.4134910437321755
2007-05-31,-1.507444613703269
2007-06-01,-1.457694559104784
2007-06-02,-1.2753126974091828
2007-06-03,-0.9602990304829608
2007-06-04,-0.7003291576594215
2007-06-05,-0.4954030803484939
2007-06-06,-0.34552079750584186
2007-06-07,-0.250682308618118
2007-06-08,-0.21088761528576216
2007-06-09,-0.22613671547534708
2007-06-10,-0.2964296106566098
2007-06-11,-0.2974146849999024
2007-06-12,-0.22909193850639942
2007-06-13,-0.0914613702921192
2007-06-14,0.11547701837899238
2007-06-15,0.391723228158694
2007-06-16,0.7372772596620443
2007-06-17,1.1521391108941481
2007-06-18,1.311033970454461
2007-06-19,1.2139618387055626
